,Municipality,Year,number_crimes,worked_hours_week,monthly_wage,amount_executed
0,Agua Prieta,2015-01-01,696,29.28597615039002,3172.9686488209686,3779522492.529999
1,Álamos,2015-01-01,183,23.065879400856232,1054.4284252115822,3779522492.529999
2,Bácum,2015-01-01,110,16.638454606421327,1345.2564862939057,3779522492.529999
3,Caborca,2015-01-01,1189,25.159707246945043,2325.875550248614,3779522492.529999
4,Cajeme,2015-01-01,4968,24.669228875161924,2610.738110754852,3779522492.529999
5,Cananea,2015-01-01,455,29.8091260701826,4026.246445681856,3779522492.529999
6,La Colorada,2015-01-01,10,24.156151165907264,3131.136531760922,3779522492.529999
7,Cumpas,2015-01-01,27,22.760705457946425,2957.4666978422074,3779522492.529999
8,Empalme,2015-01-01,354,27.697202277791533,2970.4204753651893,3779522492.529999
9,Etchojoa,2015-01-01,376,21.740663647978028,1566.3958813151285,3779522492.529999
10,Guaymas,2015-01-01,963,23.645464301945477,3280.989979685592,3779522492.529999
11,Hermosillo,2015-01-01,10955,24.71438681244173,3640.443228663446,3779522492.529999
12,Huatabampo,2015-01-01,418,20.520909059398505,2038.7920855911543,3779522492.529999
13,Magdalena,2015-01-01,209,20.022818203409027,3130.169647587555,3779522492.529999
14,Nacozari de García,2015-01-01,100,21.19171157664411,3877.9236395315856,3779522492.529999
15,Navojoa,2015-01-01,1178,23.259394894884863,2234.011447429072,3779522492.529999
16,Nogales,2015-01-01,1690,26.555811958402955,3363.957694526563,3779522492.529999
17,Puerto Peñasco,2015-01-01,563,21.925836856599823,2850.928823552229,3779522492.529999
18,Quiriego,2015-01-01,16,16.939345570630486,1832.063527533919,3779522492.529999
19,Sahuaripa,2015-01-01,45,20.476189304562844,2551.8360623469925,3779522492.529999
20,San Luis Río Colorado,2015-01-01,2832,24.231756552122885,2774.1821604046786,3779522492.529999
21,San Miguel de Horcasitas,2015-01-01,11,34.21338229294166,2989.7588739290086,3779522492.529999
22,Santa Ana,2015-01-01,96,26.66837875611461,3783.5000989983696,3779522492.529999
23,Sáric,2015-01-01,20,16.2242100532393,1696.2163797275807,3779522492.529999
24,Ures,2015-01-01,151,20.4328710411923,2281.349151314428,3779522492.529999
25,Benito Juárez,2015-01-01,292,22.59123311429884,2337.3516045610104,3779522492.529999
26,Agua Prieta,2016-01-01,677,26.13995712239688,2741.9367777748125,4375163125.9
27,Álamos,2016-01-01,180,22.897959183673468,897.8775510204082,4375163125.9
28,Bácum,2016-01-01,142,20.10901075911536,1996.721682606097,4375163125.9
29,Caborca,2016-01-01,1619,29.834125762570338,3878.8299756351375,4375163125.9
30,Cajeme,2016-01-01,4921,23.08547567521188,2466.645649693815,4375163125.9
31,Cananea,2016-01-01,393,24.46211088984383,3783.8140345565134,4375163125.9
32,Empalme,2016-01-01,455,26.55236489018814,3189.569849836344,4375163125.9
33,Etchojoa,2016-01-01,449,21.29843686961896,1567.3767736508237,4375163125.9
34,Guaymas,2016-01-01,1094,24.43009157008193,3229.898011422786,4375163125.9
35,Hermosillo,2016-01-01,19092,25.51535693392856,3627.347717543718,4375163125.9
36,Huatabampo,2016-01-01,915,23.18739314316566,1932.1511170373765,4375163125.9
37,Imuris,2016-01-01,103,22.484848484848484,2087.7272727272725,4375163125.9
38,Magdalena,2016-01-01,342,25.51444073348945,2830.7858267111983,4375163125.9
39,Naco,2016-01-01,26,23.60220031261272,2644.1622580257304,4375163125.9
40,Nacozari de García,2016-01-01,128,26.262538362406836,3956.442426496964,4375163125.9
41,Navojoa,2016-01-01,1626,23.440537772828627,2123.622441511808,4375163125.9
42,Nogales,2016-01-01,1810,26.07997377815464,3322.817485980576,4375163125.9
43,Puerto Peñasco,2016-01-01,839,23.0994945517262,2296.6418545066645,4375163125.9
44,Quiriego,2016-01-01,16,18.701732889900228,1530.7213373008926,4375163125.9
45,Sahuaripa,2016-01-01,125,20.71753745451108,2224.862274918474,4375163125.9
46,San Luis Río Colorado,2016-01-01,2744,22.47551516176986,2807.8102875237187,4375163125.9
47,Santa Ana,2016-01-01,143,28.70989575075313,4275.223660218804,4375163125.9
48,Sáric,2016-01-01,15,18.52523391495972,1810.0631841335207,4375163125.9
49,Yécora,2016-01-01,63,25.51273976936129,3818.037831075834,4375163125.9
50,Benito Juárez,2016-01-01,257,25.21727270890441,2642.8827831920094,4375163125.9
51,Agua Prieta,2017-01-01,361,26.13271522763935,2995.571070147688,4148071296.140001
52,Altar,2017-01-01,25,25.560672663464647,2107.48511779995,4148071296.140001
53,Bácum,2017-01-01,126,26.621601742623557,2759.240685733684,4148071296.140001
54,Caborca,2017-01-01,613,25.58257299270073,2720.6208501890774,4148071296.140001
55,Cajeme,2017-01-01,4357,23.99690471659975,2582.3226794008247,4148071296.140001
56,Cananea,2017-01-01,83,24.38513737981709,4388.925994684593,4148071296.140001
57,Empalme,2017-01-01,272,24.63418684410256,3008.975070903976,4148071296.140001
58,Etchojoa,2017-01-01,226,27.571791981325006,2851.458514978901,4148071296.140001
59,Guaymas,2017-01-01,613,25.870769175940904,4064.7638539379454,4148071296.140001
60,Hermosillo,2017-01-01,12579,24.828634725214197,3524.996459196896,4148071296.140001
61,Huásabas,2017-01-01,2,24.59844626394172,2917.5704338856294,4148071296.140001
62,Huatabampo,2017-01-01,527,24.27143388567289,2246.0410045227018,4148071296.140001
63,Imuris,2017-01-01,83,19.073704703029478,2031.575531951228,4148071296.140001
64,Magdalena,2017-01-01,284,29.29005553095084,3483.5950669437534,4148071296.140001
65,Naco,2017-01-01,12,19.332334697666568,2214.297227731128,4148071296.140001
66,Navojoa,2017-01-01,1976,21.85900731073204,2381.927908923241,4148071296.140001
67,Nogales,2017-01-01,1240,27.25119962047272,3397.9884087049536,4148071296.140001
68,Puerto Peñasco,2017-01-01,242,22.376465374278038,2902.791592802272,4148071296.140001
69,Sahuaripa,2017-01-01,38,26.35935781078108,3119.964956912358,4148071296.140001
70,San Luis Río Colorado,2017-01-01,1181,21.38555086346389,2382.9196989857187,4148071296.140001
71,Sáric,2017-01-01,6,14.693877551020408,1823.469387755102,4148071296.140001
72,Yécora,2017-01-01,41,22.918698541586338,2865.0335911451834,4148071296.140001
73,Benito Juárez,2017-01-01,127,18.382547021591776,2214.649593751403,4148071296.140001
74,Agua Prieta,2018-01-01,307,22.62478464670032,3916.5672127795833,4963137875.91
75,Altar,2018-01-01,3,25.41221919581457,3454.128044011758,4963137875.91
76,Bacerac,2018-01-01,0,21.80211215903315,2022.2085898232335,4963137875.91
77,Bácum,2018-01-01,83,29.10809922600093,3101.9127409539565,4963137875.91
78,Caborca,2018-01-01,507,23.81555369543651,3258.3104499937995,4963137875.91
79,Cajeme,2018-01-01,3774,23.955840917259405,2591.38092533512,4963137875.91
80,Cananea,2018-01-01,28,26.87006548521958,3983.8140099522734,4963137875.91
81,Empalme,2018-01-01,263,24.481867509567767,3206.854375016964,4963137875.91
82,Etchojoa,2018-01-01,170,24.07130490280616,2260.3586700433857,4963137875.91
83,Guaymas,2018-01-01,482,25.300448430493272,3842.931024082889,4963137875.91
84,Hermosillo,2018-01-01,7255,25.01573279905797,3639.281752612968,4963137875.91
85,Huásabas,2018-01-01,1,20.801651621971843,2098.844545474512,4963137875.91
86,Huatabampo,2018-01-01,431,23.49782007051598,2337.0745936063827,4963137875.91
87,Mazatán,2018-01-01,10,31.21176174839348,4204.4556067057365,4963137875.91
88,Moctezuma,2018-01-01,6,23.251528433042072,4396.457134083359,4963137875.91
89,Navojoa,2018-01-01,1408,23.797957945520995,2627.773586619294,4963137875.91
90,Nogales,2018-01-01,1438,25.024153472609395,3325.682794163641,4963137875.91
91,Puerto Peñasco,2018-01-01,170,24.728553832500708,3970.9995333216025,4963137875.91
92,Sahuaripa,2018-01-01,22,23.78413948256468,2937.3872328458942,4963137875.91
93,San Luis Río Colorado,2018-01-01,890,22.811557354434072,2436.243302719836,4963137875.91
94,Santa Ana,2018-01-01,74,17.408132530120483,3330.970481927711,4963137875.91
95,Sáric,2018-01-01,0,14.83870913352105,1567.4480264378087,4963137875.91
96,Yécora,2018-01-01,32,18.983618356202964,2230.081657878679,4963137875.91
97,Benito Juárez,2018-01-01,80,22.645871297780317,2564.8192471512943,4963137875.91
98,Agua Prieta,2019-01-01,732,23.259847913604705,3527.0876912262765,5382598902.32
99,Altar,2019-01-01,15,19.72814221331998,2783.3344016024034,5382598902.32
100,Bacanora,2019-01-01,1,25.075,2439.0,5382598902.32
101,Bacerac,2019-01-01,0,16.46782456578783,1479.9027864550794,5382598902.32
102,Bácum,2019-01-01,102,25.37758035014372,3029.834620044184,5382598902.32
103,Caborca,2019-01-01,848,27.760805948668747,3883.22861330988,5382598902.32
104,Cajeme,2019-01-01,5797,23.264811831236337,2766.879648832034,5382598902.32
105,Cananea,2019-01-01,198,24.88320710040614,4032.523299514408,5382598902.32
106,Empalme,2019-01-01,412,24.86756435071281,3278.697022127747,5382598902.32
107,Etchojoa,2019-01-01,240,22.258444893847702,2779.6123653392183,5382598902.32
108,Guaymas,2019-01-01,628,26.685524475524478,3788.0029055944055,5382598902.32
109,Hermosillo,2019-01-01,8550,24.77722676625475,3925.872025761239,5382598902.32
110,Huatabampo,2019-01-01,394,20.63903630989816,2395.306378282172,5382598902.32
111,Imuris,2019-01-01,59,19.68859775410308,1800.866685862367,5382598902.32
112,Mazatán,2019-01-01,8,27.55813953488372,3132.7906976744184,5382598902.32
113,Moctezuma,2019-01-01,4,23.06816497246929,3504.663013553579,5382598902.32
114,Navojoa,2019-01-01,799,22.96615459990833,3074.5032912932847,5382598902.32
115,Nogales,2019-01-01,1819,26.66989693800443,4179.0162066609455,5382598902.32
116,Puerto Peñasco,2019-01-01,601,26.08671702284451,4026.499161753869,5382598902.32
117,San Luis Río Colorado,2019-01-01,1066,24.94882082847639,3360.5526706090845,5382598902.32
118,Santa Ana,2019-01-01,104,13.408282413477476,3303.7236721668355,5382598902.32
119,Sáric,2019-01-01,2,23.214285714285715,2742.619047619048,5382598902.32
120,Ures,2019-01-01,50,21.98103735367945,2968.583380967766,5382598902.32
121,Benito Juárez,2019-01-01,139,23.31928410260904,2260.110341957108,5382598902.32
122,Agua Prieta,2020-01-01,1334,20.506730083234245,2944.498115688606,6069537153.050001
123,Bacanora,2020-01-01,2,17.89113019185736,2433.513495747915,6069537153.050001
124,Bácum,2020-01-01,162,27.589692081671814,3099.4803915689745,6069537153.050001
125,Caborca,2020-01-01,1142,24.074014309044248,3653.492903802784,6069537153.050001
126,Cajeme,2020-01-01,6180,20.825410086542263,3162.6081190671143,6069537153.050001
127,Cananea,2020-01-01,340,21.83703992716868,4409.527296737597,6069537153.050001
128,Empalme,2020-01-01,339,22.079180100381784,3165.163386193708,6069537153.050001
129,Etchojoa,2020-01-01,562,21.12381185953097,2835.3779711797224,6069537153.050001
130,Guaymas,2020-01-01,1027,19.056639667028737,2782.294963928775,6069537153.050001
131,Hermosillo,2020-01-01,11615,22.459595906306696,3829.063988954324,6069537153.050001
132,Huatabampo,2020-01-01,462,17.967306520890276,1804.856203045685,6069537153.050001
133,Imuris,2020-01-01,103,13.587504349843403,1727.442872056606,6069537153.050001
134,Moctezuma,2020-01-01,29,23.349989948343225,3742.004615021545,6069537153.050001
135,Navojoa,2020-01-01,1294,22.04028147984444,2598.3359053899994,6069537153.050001
136,Nogales,2020-01-01,1853,26.3862480388222,4171.2913434524025,6069537153.050001
137,Puerto Peñasco,2020-01-01,590,23.514885148631183,3426.6430868875573,6069537153.050001
138,Rosario,2020-01-01,17,17.609193438140807,1398.3962747778537,6069537153.050001
139,San Luis Río Colorado,2020-01-01,1712,21.179696922654376,3326.9534211968385,6069537153.050001
140,Sáric,2020-01-01,4,14.65505395745862,1618.1063707970436,6069537153.050001
141,Ures,2020-01-01,46,15.952380952380953,2045.2380952380952,6069537153.050001
142,Villa Hidalgo,2020-01-01,10,15.590909090909092,5800.477272727273,6069537153.050001
143,Yécora,2020-01-01,59,15.863636363636363,2424.3863636363635,6069537153.050001
144,San Ignacio Río Muerto,2020-01-01,42,28.444444444444443,2764.4666666666667,6069537153.050001
145,Agua Prieta,2021-01-01,1634,22.642418987699173,3445.4634485791457,6779900503.0
146,Bacanora,2021-01-01,13,16.94545160246034,1908.030754289414,6779900503.0
147,Bácum,2021-01-01,196,23.018116900290927,2665.435957985416,6779900503.0
148,Caborca,2021-01-01,1464,23.610310889775445,3894.8828506256873,6779900503.0
149,Cajeme,2021-01-01,7062,23.43151912943157,3242.528912413084,6779900503.0
150,Cananea,2021-01-01,452,33.9147771696638,5274.281469898358,6779900503.0
151,Empalme,2021-01-01,629,23.35161476062253,3247.335351431297,6779900503.0
152,Etchojoa,2021-01-01,526,21.339966553592,2393.022051146984,6779900503.0
153,Guaymas,2021-01-01,1855,25.437656313104178,3407.8782712280145,6779900503.0
154,Hermosillo,2021-01-01,12111,24.11609690398828,4125.403017222512,6779900503.0
155,Huatabampo,2021-01-01,629,19.92794486583668,1983.76258056556,6779900503.0
156,Imuris,2021-01-01,146,13.90503694895099,1132.02136243948,6779900503.0
157,Magdalena,2021-01-01,585,27.69687626562847,3598.9196007472924,6779900503.0
158,Moctezuma,2021-01-01,32,21.0595670589811,3203.6978788233914,6779900503.0
159,Navojoa,2021-01-01,1991,22.786245009936163,2959.362399539244,6779900503.0
160,Nogales,2021-01-01,2685,26.1620006531724,4527.829034208167,6779900503.0
161,Puerto Peñasco,2021-01-01,521,21.530301223801533,3997.924992122363,6779900503.0
162,Rosario,2021-01-01,46,23.35915615636541,2397.579471813811,6779900503.0
163,Sahuaripa,2021-01-01,82,21.867963900740328,2901.626035062536,6779900503.0
164,San Luis Río Colorado,2021-01-01,2398,23.28602466073912,3605.2887357354793,6779900503.0
165,Santa Ana,2021-01-01,259,23.86185135684816,3572.890429426463,6779900503.0
166,Sáric,2021-01-01,11,10.321824415915795,1412.5962841878638,6779900503.0
167,Villa Hidalgo,2021-01-01,3,14.521739130434783,2498.1521739130435,6779900503.0
168,Yécora,2021-01-01,88,18.52449313910271,1258.8864737277836,6779900503.0
169,Benito Juárez,2021-01-01,318,23.972369594461828,2558.688114995692,6779900503.0
170,San Ignacio Río Muerto,2021-01-01,60,29.51503570531453,3033.6974198873218,6779900503.0
